number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale,p_irisScale
10,-0.7816962523939011,0.7816962523939011,0.41923076923076924,0.45762909811787794,0.9160929035215809,251.41460547255969,59225.137064519484,235.56760735200618,260,109,1,76.59913778305054,23.281217515100575,25.86411351038948,24.44452721155004,0.0718920258792849,0.7382357947702887,0.09684793847898171,1.4712297469855167,1.3901631914909736
11,-0.687621063806357,0.687621063806357,0.4600760456273764,0.5027707069508683,0.9150812473096924,217.30826226118538,25160.876087918972,115.78425885012055,263,121,1,87.42603087425232,21.456746671840776,21.961456990829163,16.219141478460646,0.02969908207413602,0.6259311097753497,0.18013182531046257,0.7042611083159461,1.3031196683702408
12,-0.5509862052817397,0.5509862052817397,0.5298507462686567,0.5763810999089202,0.9192715485507484,88.63131414256874,32686.93154066963,368.7966477411218,268,142,1,90.82096838951111,24.44654106341123,26.85980710937909,24.3276240498899,0.045361058161271145,1.1663796740285726,-0.16639510488586798,1.0251155528128493,1.1209753510241094
13,-0.4152725377536647,0.4152725377536647,0.6053639846743295,0.6601603375699879,0.9169953876699702,168.24201940486194,22388.555605985002,133.0735073507921,261,158,1,94.30944633483887,21.876021157549857,23.448772971352547,21.566109555108724,0.05116712999096855,1.2306301961693065,-0.12000848204374817,1.373074863881692,1.368690254316125
14,-0.5806826945320877,0.5806826945320877,0.5131086142322098,0.5595162574587628,0.9170575606912131,94.28139935521901,15865.478593331043,168.2779286458777,267,137,1,89.69678449630737,20.8393475860756,20.105816880211385,21.45447564738087,0.029013416971097803,1.1959510511123925,-0.16654517236286326,1.3078040366183599,1.1938235258684433
15,-0.5189148499359363,0.5189148499359363,0.5458015267175572,0.595166042146593,0.917057573965423,200.81507411753984,21120.27303035172,105.1727472310656,262,143,1,90.22207641601562,21.556036407222972,21.07687187958918,20.63888144785948,0.06128522125230912,0.9944729072353715,-0.16969726915440217,1.498719580654344,1.2104549918583236
16,-0.3391547496050423,0.3391547496050423,0.6528301886792452,0.712372201242221,0.9164172711131239,77.23158533951573,15819.948375336693,204.83780445255704,265,173,1,100.58766102790833,21.4,25.0,20.0,0.0,1.0,0.0,1.0,1.0
17,-0.38650525537561514,0.38650525537561514,0.623574144486692,0.6794271547203528,0.9177939682781012,55.794681962681686,17516.377305231166,313.9434922659297,263,164,1,102.79723238945007,21.4,25.0,20.0,0.0,1.0,0.0,0.6,1.0
18,-0.34573028594340866,0.34573028594340866,0.6490566037735849,0.7077033389060378,0.9171309051288234,73.22482624125212,16220.595190687038,221.51770134961365,265,172,1,101.12160444259644,21.4,25.0,20.0,0.0,1.0,0.0,0.6,1.35
19,-0.337144561697068,0.337144561697068,0.6539923954372624,0.713805643488576,0.916205134272981,80.55797972616725,14615.296052448439,181.4258016664366,263,172,1,100.76491856575012,21.4,25.0,20.0,0.0,1.0,0.0,1.0,1.35
20,-0.3953433584033566,0.3953433584033566,0.6174242424242424,0.673448765253425,0.9168095247630307,104.90468925962273,18749.458769133442,178.72850967349476,264,163,1,98.03920412063599,20.94175561619722,24.152591700855503,17.52006987075186,0.02532277936184206,0.9928105893540714,-0.048147515180546344,0.9630137143632538,1.0415660084895717
21,-0.35622121398584145,0.35622121398584145,0.6425855513307985,0.7003176830327272,0.917562938790979,69.38962109903126,16889.05235733023,243.3945032388427,263,169,1,99.51729989051819,21.281989266665263,24.721753564887603,17.019003429256017,0.021283840771173745,1.0483587991654555,-0.032417150095917065,0.6477238436898406,1.0514524374664336
22,-0.3907911160408598,0.3907911160408598,0.6197718631178707,0.6765214557612754,0.9161156055582219,99.68283623331332,16701.110822660907,167.54249230600755,263,163,1,98.07308626174927,21.347562988881386,25.31617601856787,19.900145825829323,0.01962220946573168,0.9637328794389461,0.10624169964234989,1.1858926158443808,1.0048142519434662
23,-0.4396696990180452,0.4396696990180452,0.5902255639097744,0.6442491820810887,0.9161448401117029,102.63762489016766,18180.518398365388,177.13307783398466,266,157,1,97.9411780834198,21.032596380207128,25.886386643924226,19.959759961690654,0.01199169711646132,1.0840706572046541,0.037953293876682496,1.287841030616615,1.0600685984966842
24,-0.3655932856449965,0.3655932856449965,0.6360153256704981,0.693784916120446,0.9167327090750432,129.03816397896182,17588.928450581854,136.307956562754,261,166,1,99.62110829353333,21.901229500007506,23.959157274169595,18.169656027520723,0.0048215849478232785,1.1594275005606647,-0.003424264610919814,0.6808735514868738,1.343189880685397
25,-0.3925999225209548,0.3925999225209548,0.6188679245283019,0.6752988654161778,0.916435605362526,65.33203831538938,14361.240275202204,219.81925936358428,265,164,1,98.10010504722595,20.72580794642376,25.577918282578324,18.76599162976204,0.0017103094937174607,1.0756135908143956,-0.017900510234918746,0.9229908467553326,1.3490833306735242
26,-0.46585950199762294,0.46585950199762294,0.575187969924812,0.6275954537609157,0.9164948000785416,94.24323235223676,18567.719163347538,197.01912487413588,266,153,1,94.56106495857239,22.561515287325644,24.350914763393767,20.13852704746027,0.012787306385795724,1.1117598556993058,0.02687628111925885,0.6986603530946305,1.322831312748048
27,-0.3334858165861854,0.3334858165861854,0.6564885496183206,0.716422059878445,0.9163432931276666,93.41835278484875,16206.500927215699,173.48305171405445,262,172,1,104.34721755981445,21.497984784243584,24.66898776555077,22.108713334157024,0.007844053558565241,0.9567217319966231,0.027274428890133443,0.7116454646329828,1.297779560382255
28,-0.48855586673746326,0.48855586673746326,0.5617977528089888,0.6135117474679601,0.9157082242151002,207.34506352675692,20093.51185199412,96.90856155541483,267,150,1,95.3554916381836,20.573993509260376,24.305033931745633,21.17957536931222,0.0038705487542789532,0.7944255851295692,0.03413414295586642,1.3015008957620973,1.3729100338885756
29,-0.47330801352358154,0.47330801352358154,0.5703422053231939,0.6229381682446513,0.9155679237480902,60.040605023173796,17095.176384470986,284.72691735655866,263,150,1,96.42697215080261,20.79678611113001,26.161669992505647,19.40258770690612,0.012695150119500833,0.8995782441216189,0.12977638751298903,0.5054043398751666,1.3813397405767651
30,-0.47428207477649786,0.47428207477649786,0.5703422053231939,0.622331683736484,0.9164601774713689,122.62129602820954,21364.121517047126,174.22847587691635,263,150,1,93.6700873374939,22.660107132523976,22.21954188945144,22.374038267548816,0.013686016553077274,0.8267958568285941,-0.00771518656866932,1.0932460331876437,1.2838622621111149
31,-0.45432945333108143,0.45432945333108143,0.5817490494296578,0.6348735375859437,0.916322724115597,160.1821749834756,18969.588004879275,118.4250869788488,263,153,1,94.46974658966064,22.66155551744935,23.01713314284096,21.558166216844903,0.003207076748313001,1.039885822789488,0.005916647907979986,1.2275121213668492,1.357714652599816
32,-0.3715359210753362,0.3715359210753362,0.6325757575757576,0.6896742315441426,0.9172095007224719,100.73240933592028,19271.131817802132,191.31014481682033,264,167,1,100.08554720878601,20.666563918627155,26.03402613137629,25.260366503769305,0.046815200418384766,1.08317660174259,0.06389221558092423,0.7549065247402718,1.2932774756369474
33,-0.39201216338826755,0.39201216338826755,0.6197718631178707,0.6756958951591183,0.9172349093106771,50.32308532101756,17760.03086787994,352.9201509523189,263,163,1,97.29494428634644,22.863883902724233,26.192641021276206,18.053689843136336,0.0034912116614859447,0.9885021766029567,0.08439838280838602,1.1298780392262757,1.291547076233895
34,-0.31953281099411474,0.31953281099411474,0.6666666666666666,0.7264883651794541,0.917656357100763,56.29540013479784,16569.509030798188,294.33149051473015,261,174,1,103.20076370239258,21.52354984435365,28.68842119662004,22.246716660187214,0.0036118821222416698,0.7917072004759791,0.06650935062347023,0.9371905219660643,1.2714573349181402
35,-0.3382033493506205,0.3382033493506205,0.6541353383458647,0.7130502748442774,0.9173761814883542,74.76777646720332,16432.557390501068,219.78127700118463,266,174,1,103.86829996109009,21.830824944058318,24.99971958764091,21.443987177093685,0.011274349529319678,1.0290481847203314,-0.07376887445118689,0.505027472891092,1.3606511522443445
36,-0.3486725161628472,0.3486725161628472,0.6475095785440613,0.705624172948263,0.9176408679972154,48.80755861779187,15638.19507387516,320.4051896210714,261,169,1,101.04907846450806,20.574052228755505,23.87326354570913,18.630083242708935,0.0013026971808042084,0.903254794049212,-0.06299300164157853,0.5512885545491277,1.3718265874385926
37,-0.3925752752406144,0.3925752752406144,0.6197718631178707,0.675315509901747,0.9177515606120797,78.19201693774126,17327.237316939136,221.59854669992185,263,163,1,99.43104791641235,22.081792167764565,23.26984452533155,24.65489773512289,0.0014314795721831657,0.8755191562330469,-0.04484134923201247,0.6911763908285636,1.3021243854340632
38,-0.3254561637974949,0.3254561637974949,0.6615384615384615,0.722197837982912,0.9160072583242962,62.827012660392434,17319.623123770554,275.67160032565477,260,172,1,102.96713781356812,22.192331031384416,29.853106310127828,20.213371573517165,0.010853107950960143,0.6522658534222168,0.08589579502245448,0.8640952650072844,1.2452539418427013
39,-0.3806988006225524,0.3806988006225524,0.6269230769230769,0.6833836933673636,0.9173807964804109,70.16286409079967,18203.008294041425,259.43935627377493,260,163,1,98.75093078613281,20.795010277848966,28.51028675186137,22.89877554109891,0.002337441739027538,0.7083572379520998,0.07110841008193251,0.9158782945596584,1.2770727655246445
40,-0.4159776688144497,0.4159776688144497,0.6045627376425855,0.6596950020913996,0.9164276456937964,60.86184016234023,16555.053215290463,272.0103955307995,263,159,1,95.23644232749939,21.23835228645669,29.117768985978238,24.183769971975433,0.012066854448631585,0.8950483267348994,0.1570408298475274,0.9798002462173837,1.2530975576249768
