number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
11,-6.25170885643958,6.25170885643958,0.6136363636363636,56.45622979185889,17976.519848864376,318.4151672036844,352,216,1,103.65446662902832,22.29284583717296,27.47782787676394,21.43051556129422,0.006718099678280361,0.735879138065983,0.044091871824168724,1.6691896893649465
12,-5.413202738105335,5.413202738105335,0.46629213483146065,229.32321111984814,23989.996413697958,104.61215982694567,356,166,1,87.8506031036377,22.691318054965922,21.46796890813916,19.37156199102538,0.031957137905357105,1.0528430542162663,-0.08887978017789855,2.790607494689052
13,-5.62661946929662,5.62661946929662,0.4744318181818182,170.3969225848607,22451.498974331895,131.76000266759894,352,167,1,86.81289076805115,22.61149869034663,21.90933414202417,21.03643668950349,0.034590591431421555,1.042750766971217,-0.11056672853971189,2.8322811873168665
14,-5.169626164946008,5.169626164946008,0.46175637393767704,221.87063992753514,18015.770961990933,81.19943660808406,353,163,1,87.75404524803162,21.129359874022242,23.581748543232756,22.07052548129205,0.03625190488470308,0.8480159659030528,-0.024027161928545433,3.267337037376821
15,-5.6116793100398645,5.6116793100398645,0.4051724137931034,407.6903564359351,45195.13270978651,110.8565164623621,348,141,1,79.65896654129028,25.739212398325666,24.999843806869006,24.60488110132477,0.02576860312258008,0.9851271337578992,-0.08368352762327323,3.346187053762799
16,-6.171984695213351,6.171984695213351,0.43661971830985913,157.1826863491777,32882.660418189465,209.200269965748,355,155,1,83.68452310562134,23.673214835337212,22.415690477915902,18.738098023794908,0.036731910756103006,0.9720959649178511,-0.1364311876850768,2.6799567848514005
17,-5.9834431454094075,5.9834431454094075,0.5140449438202247,170.86363268843044,34851.94886322784,203.97523050900077,356,183,1,91.2077317237854,24.176464383594862,27.28188560083254,26.49314330970959,0.03292804558472837,0.9262054711171642,-0.04939670612639857,3.164659946130296
18,-5.711613614787025,5.711613614787025,0.4632768361581921,340.7367937811533,47728.95152540631,140.0757194307035,354,164,1,84.68917608261108,24.202441005947815,26.175880789168456,23.088280153829476,0.04522533043465474,0.8579540312976653,0.018908211433346978,3.4402439519549026
19,-5.675701144606527,5.675701144606527,0.49299719887955185,135.7220012474564,19517.329517156995,143.80372627700828,357,176,1,90.56899929046631,21.761159435715836,24.129348416247854,21.369153757350226,0.04305093866009554,0.9211533014298937,-0.059677975121039215,3.4041305184885204
20,-5.481154562067438,5.481154562067438,0.5421348314606742,123.12967958413061,16028.956161371532,130.1794678221302,356,193,1,94.11828780174255,21.140156655042922,25.216486819014445,22.891148252197716,0.030133207289015862,0.9053780540534666,-0.06501481606942397,3.4001453762061002
21,-5.669976116581954,5.669976116581954,0.4269340974212034,353.5737222967236,43780.44403995757,123.82267481749241,349,149,1,79.02438306808472,24.902502877047937,23.974286415253122,22.83202157325946,0.03281204798131961,0.8100170337459761,0.017078747022099314,3.3823552918833952
22,-5.937954710109786,5.937954710109786,0.5439093484419264,101.82212622523348,20998.566566900237,206.22793242846652,353,192,1,92.57195019721985,21.403463045596904,24.822702417304193,20.86939321693737,0.04163319382013375,0.9019267197915687,-0.0056275719186112474,3.1179759151413395
23,-5.662667560175468,5.662667560175468,0.5589887640449438,102.54727148615707,16504.12339745104,160.9416141284553,356,199,1,96.14379501342773,21.5815842970725,26.11991932466119,21.821130547948826,0.021870986100500162,0.7512180943987785,-0.07817038042754337,3.2331511553204613
24,-5.9014718397545805,5.9014718397545805,0.4661016949152542,107.09094757454822,18247.782618803667,170.39519242372012,354,165,1,89.13805079460144,21.591902414645233,24.5782477359431,20.523157143927474,0.04281512135681294,0.8358587276161912,-0.11037404332739148,3.490325912601573
25,-5.938773212806853,5.938773212806853,0.38636363636363635,282.8383072030622,38734.67553440681,136.94989167997483,352,136,1,78.1430435180664,24.853153577068746,22.364081939222256,21.896114800766895,0.019144201471768006,0.7207298822958683,0.005112379913816918,3.0845595429803967
26,-5.508653243815427,5.508653243815427,0.5790960451977402,104.3142948355126,14909.810788340916,142.9316165330108,354,205,1,95.73237991333008,21.347911593304804,25.109915024060417,23.828245340197316,0.011552149521170087,0.8914743056625611,-0.15184576547915424,3.4237747385731603
27,-5.712132478408965,5.712132478408965,0.5971428571428572,89.43916641090065,16156.734928559012,180.64496324051007,350,209,1,99.68420791625977,21.61194980659854,28.00003717811797,20.316056933839477,5.559693056338133e-05,0.7383512604479929,-0.023463726515533682,3.1102711875064135
28,-6.488342101586867,6.488342101586867,0.307909604519774,605.5201825384553,77344.82791286916,127.73286530041823,354,109,1,67.61552476882935,25.8598798733674,24.042638954578955,25.88743517951223,0.05189432327750025,0.8976502634814241,-0.02892622045503606,3.454165486047354
29,-5.657390371383052,5.657390371383052,0.48732394366197185,238.51090879518648,33288.89792955302,139.5697081433654,355,173,1,89.27481532096863,23.334171576180847,25.464868914344695,23.250072171081882,0.05970236083090165,1.1688419971979729,-0.14710260604971429,2.9164646522907915
30,-5.625568580478627,5.625568580478627,0.48055555555555557,112.89796391300575,15051.61510085593,133.32051862736913,360,173,1,91.55492377281189,21.940069149069483,25.43040324386477,23.884210072430562,0.0011740854062917312,0.8646536272054473,-0.21963899756181934,3.4823323969762914
31,-5.478804460529304,5.478804460529304,0.5482954545454546,120.05041128491082,15768.589318121834,131.34973174476573,352,193,1,95.98163437843323,21.422210540695175,25.140916083533153,25.348285394142906,0.009308235821062326,0.8779167173334778,-0.09292114247236527,2.9466786791775688
32,-6.331360297917255,6.331360297917255,0.5354107648725213,100.63915814112248,30278.12198232887,300.8582597627755,353,189,1,92.24381828308105,23.35608735599875,28.36877734736321,22.00811476064068,0.06300160770423163,1.1822654392689171,-0.19982816698009612,2.729420796458495
33,-5.730178770069156,5.730178770069156,0.523943661971831,91.23290589997212,14723.841012853252,161.3873949054795,355,186,1,93.972323179245,22.415303484481623,26.853312382230705,24.437529620159857,0.01468762480701483,0.7572702878119489,-0.20540741216689973,3.488411738580716
34,-5.68181296295136,5.68181296295136,0.5602240896358543,85.06568754111434,13986.086602917338,164.41513619880538,357,200,1,97.30130338668823,21.361032656211766,26.553358829902507,25.453613224375804,0.0172762721183585,0.8702620107997299,-0.19950741999865682,3.491702203104632
35,-5.555958293254152,5.555958293254152,0.5056497175141242,143.76875381750122,18812.057854578707,130.84941863277584,354,179,1,91.28223443031311,21.042301927947175,23.446435211026365,26.688281548307494,0.021420408491563646,0.841863509621507,-0.1428491410932522,3.2668034083294852
