number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
10,3.5826157434963055,-3.5826157434963055,0.2578397212543554,139.49557300849807,29110.821659136953,208.68634775501815,287,74,1,57.408528327941895,23.57295402934264,19.02186896076293,27.49166300845949,0.01450131457600003,0.5355590408135928,0.09715571930549466,2.192852081639361
11,4.457813092558214,-4.457813092558214,0.43157894736842106,199.96011415901182,42317.49982544343,211.62970427088177,285,123,1,66.16254568099976,21.26488361391939,26.612377536906997,21.367142774403796,0.08117081286795066,0.8288567922298984,0.2254975000643683,2.56388761702571
12,3.8852020966017884,-3.8852020966017884,0.25263157894736843,192.6789163885237,64855.51861302918,336.5989379048225,285,72,1,49.2970130443573,25.946787817146056,21.684304778055484,26.006829096773583,0.045617974031352565,0.8117303016834947,0.2329532771550213,2.0713230938507547
13,4.0902587869933456,-4.0902587869933456,0.4270833333333333,139.91497431028938,54611.438032235004,390.3187510946701,288,123,1,66.00553011894226,21.83001641102157,23.406046483018894,25.89740641436728,0.09627772345177318,0.8536564216334783,0.13361703850338624,1.0067130410061684
14,4.0676690618321905,-4.0676690618321905,0.4370629370629371,133.66639889400963,25684.517043433763,192.15387902983923,286,125,1,70.63045573234558,21.576219032173015,21.5545401081787,21.711788038279924,0.051507785781471326,0.6876426936998294,0.10027514087085088,1.7232782962422664
15,3.7806384677184206,-3.7806384677184206,0.34256055363321797,127.98912580934314,17698.811849167796,138.28371541135874,289,99,1,64.74593329429626,21.195558767054116,19.08168088763818,28.47159533914964,0.03912836941720418,0.7497168971418008,-0.1318799523054277,2.7602367880121994
16,3.256676190612935,-3.256676190612935,0.6193771626297578,41.918073102274235,16385.712375008672,390.8985113659644,289,179,1,85.57687163352966,22.088906298942536,27.26666858800067,21.36031839022837,0.027512593080640566,0.45684076365548315,-0.1842537093124933,1.3576793835104437
17,3.9246058084183972,-3.9246058084183972,0.21403508771929824,236.5645535800541,173788.9649251728,734.6365391396735,285,61,1,46.95392918586731,25.648608629718787,20.875074027223754,25.54763961657436,0.10542747165950507,1.0475133507598102,-0.10349834539289049,1.3672057946034923
18,4.454849909644269,-4.454849909644269,0.34494773519163763,249.43847092746748,37262.15151721493,149.38414021969425,287,99,1,61.917317152023315,21.892176541224625,25.91620508380761,23.382422674028163,0.07293746767127142,0.49719532355604906,0.22457208099937803,2.8227546994021955
19,3.8328066173008724,-3.8328066173008724,0.5874125874125874,78.63638051046753,16520.7240133129,210.09008687923748,286,168,1,78.7017571926117,21.618589148838264,22.898585391904014,26.51954489543951,0.014113878306438656,1.011077382357267,-0.12192627697605661,1.8228452759389384
20,3.718619718140539,-3.718619718140539,0.10689655172413794,385.48930006883586,137680.55556487682,357.1579173281633,290,31,1,40.605324268341064,23.71762265459253,18.93169299103459,26.373797767637974,0.10688636445566305,0.46870210567620035,0.22989423332952102,1.5543572661759895
21,4.042489373277785,-4.042489373277785,0.39100346020761245,145.69687177834018,23288.11350918453,159.83948883003146,289,113,1,65.22662329673767,21.839166408054854,18.755780221158208,23.978300830616785,0.050527280619410475,0.977984332472241,-0.09741252839484457,2.238718156611126
22,3.8392130599346435,-3.8392130599346435,0.48771929824561405,95.31891858567968,58049.72810755812,609.0053157220698,285,139,1,71.14020013809204,23.236276027844447,27.62985696312947,26.214061549142,0.06953993753427988,0.6005975043315892,0.05529165948411552,1.0519067975745418
23,4.217556081008414,-4.217556081008414,0.4671280276816609,145.28654876409456,19156.44072110292,131.85281696110573,289,135,1,72.2696180343628,21.731274183715552,20.952655554745416,27.014560072420245,0.03656673219507591,0.6472593264025083,-0.05576758165325521,1.8937659875609028
24,4.360780189406829,-4.360780189406829,0.426056338028169,183.82126175240768,36791.00903719463,200.14555817133456,284,121,1,66.89081072807312,22.099598175014414,21.079034331551505,26.79964932119798,0.044734591478545506,0.9975860114377866,0.16561157790681486,1.2612301476829704
25,3.9387292543415264,-3.9387292543415264,0.46875,109.55371271214504,37508.559437438176,342.37597712450696,288,135,1,71.38326144218445,24.2490101857686,25.73565260325291,28.0008205816859,0.05666460887167833,1.0849878460007574,-0.0925332957846835,1.7530559074275534
26,4.215594201575999,-4.215594201575999,0.5625,120.41671431808324,26022.12711339002,216.1006240765882,288,162,1,79.18432092666626,24.024998499823578,27.415463075229606,21.940181647969794,0.021378493667294326,1.0632382706316281,0.05718462497124521,2.9477106011548107
27,4.9236969572135045,-4.9236969572135045,0.38869257950530034,353.77583888143425,62198.591372910785,175.81356479732992,283,110,1,62.6315975189209,23.698517546718435,23.132134376008732,23.978300830616785,0.07943503665524214,0.977984332472241,-0.09741252839484457,2.238718156611126
28,3.9093986964674166,-3.9093986964674166,0.34256055363321797,145.57705505632143,26642.615359754836,183.01383655169585,289,99,1,64.6432147026062,21.33569831206595,18.41770091130643,25.76913392195964,0.05795530055636698,0.5911535790426872,0.03333038308957462,1.6073540122143248
29,4.103103701636134,-4.103103701636134,0.5034722222222222,120.22084656102227,59187.82251380864,492.32578381292467,288,145,1,73.79314374923706,23.236276027844447,27.51753240485023,21.921166075260984,0.0774345125423583,0.8683662680912025,-0.10489903822571668,1.0519067975745418
30,4.620017572944332,-4.620017572944332,0.41114982578397213,246.8584669850298,59241.588344283664,239.98199886689017,287,118,1,67.51788926124573,23.698517546718435,27.962055498743453,27.602152567882378,0.0812648524199143,0.43138119413941095,-0.09248567666701242,2.709934533326556
31,4.00139651324094,-4.00139651324094,0.2611683848797251,209.34559273921144,26795.25681425991,127.99532325306521,291,76,1,55.63679337501526,21.839166408054854,18.93169299103459,26.373797767637974,0.006195426696789199,0.977984332472241,0.22989423332952102,2.238718156611126
32,3.90172939232311,-3.90172939232311,0.32764505119453924,151.0413755993108,31926.900333277346,211.3785060987158,293,96,1,63.11608004570007,21.576219032173015,18.41770091130643,21.711788038279924,0.06753342344328206,0.6876426936998294,-0.028575248384487384,1.6073540122143248
