number,score,loss,transmission,transmission_corrected,decay_survival,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScaleStart,p_wedgeScaleEnd,p_wedgeScaleMidBump,p_irisScale
35,-5.346610678947194,5.346610678947194,0.5526315789473685,0.6040376010239483,0.9148959899359944,202.1058570499295,18499.453250827893,91.53348409025905,266,147,1,95.90609979629517,21.363151707852733,23.057771494397873,18.30644474720854,0.03018022772711078,0.8161712802839323,0.07576981603398632,1.0775324692353458,3.8189977926681946,-0.47315417119347136,1.1114394285892915
36,-5.6037750422234005,5.6037750422234005,0.5517241379310345,0.6022392970413711,0.9161211177043691,144.47120794174145,16996.60434767706,117.64700101719234,261,144,1,92.33027458190918,21.397066239534517,25.071265716619862,20.397125428671963,0.001657157535143526,0.9385852021577409,0.09496563529292366,1.1484914833345374,4.495366503143886,0.9602933544340111,1.0405696854507054
37,-5.663574316647986,5.663574316647986,0.5665399239543726,0.6184279072696338,0.9160969569689258,135.88069152180262,18766.777713432755,138.1121740201149,263,149,1,96.25607490539551,21.17906462557691,23.590252722921196,18.631429701778558,0.02860287488804251,0.8838546646495052,0.06291857040169613,1.332215583820457,4.3626640133087955,0.32883318187306243,1.098014052235021
38,-5.4796100779577115,5.4796100779577115,0.5833333333333334,0.636708953440249,0.9161695154143539,142.12537222327404,18287.806676920358,128.67376451398732,264,154,1,98.08464097976685,20.618866111666375,24.445644680596626,19.040726149440435,0.024730096891356124,0.924115904612576,-0.0190956329760515,1.0354669124170888,4.497746270285678,0.30200547795824795,1.1045121834767229
39,-4.883988444189053,4.883988444189053,0.6197718631178707,0.6768470030976794,0.9156749757055924,225.89492423642002,18502.3784370316,81.90701273866225,263,163,1,99.83219313621521,21.142238871098442,24.08283858370984,22.46085692004352,0.008756670187729881,1.0339111799645135,0.015349561748171871,0.8009169510290158,4.2755043385755735,0.44233807503154204,1.0317355024882722
40,-5.206065952815231,5.206065952815231,0.5735849056603773,0.625836371462294,0.9165093813901727,184.07482032523737,16873.227667874246,91.66505032063237,265,152,1,97.08597469329834,20.966606919111516,24.199934270246228,18.796330942393865,0.011918244796702138,0.847415189031724,-0.030911095415896366,0.8400833762206219,4.044124521571616,0.018914281715810832,1.0309964720807194
41,-5.389651150419462,5.389651150419462,0.596958174904943,0.6518015250723425,0.9158588188922809,142.66018781082184,18379.648863500297,128.83516519600477,263,157,1,94.53761696815491,20.993836429803448,24.292111564068815,20.80704350686492,0.04033676105731223,0.898189260472056,0.03703227485641433,0.7551267232283161,4.265237207823052,0.8763051101167458,1.0048898929272956
42,-5.108995224048667,5.108995224048667,0.5513307984790875,0.6016216243944629,0.9164078818377024,211.6788434425981,15143.083368129643,71.53801070457975,263,145,1,95.38120198249817,20.962617509928076,23.626433350270595,23.148650980677658,0.009550179390774011,0.978151796215841,0.02197331412085368,0.8351604423976959,3.0557708371199013,1.0465419071071496,1.040103474262905
43,-5.335730465125288,5.335730465125288,0.6068702290076335,0.6626675832011855,0.9157988777359404,145.0671712345544,18278.61449474144,126.00104034004593,262,159,1,97.5783178806305,21.058230626964,24.052656618004708,23.3462952053565,0.002479604450986479,0.9642039384855139,0.023360984507181458,0.9879078159461194,3.9530443657159964,-0.04150332623266867,1.0544318371223245
44,-4.927919760319939,4.927919760319939,0.5871212121212122,0.6411485607801248,0.915733494600418,204.7473835207885,15564.979696677048,76.02040831499416,264,155,1,96.62697672843933,20.753718912905907,23.63111532461075,22.514407405734428,0.011645103291561973,1.1290545770203355,0.02320032232215285,0.9952957676328709,4.317759377500706,0.6356753828128678,1.0330079947329407
45,-5.488070903893235,5.488070903893235,0.5714285714285714,0.6240321614370424,0.915703719681156,161.61664054176322,19357.303856767383,119.77296268428051,266,152,1,96.07378315925598,21.10936307977933,23.299843452819616,22.77153356706864,0.023562433762954593,1.0295814838683333,-0.031544152555943596,0.9704202257978706,3.93882108328762,0.13650547993600742,1.0406730173101872
46,-5.166497258489758,5.166497258489758,0.571969696969697,0.6244758404955295,0.9159196559403031,229.87165313127454,20034.23021477543,87.15398328533502,264,151,1,94.61646771430969,21.67643763412049,23.856637977902913,22.987864917361033,0.0031905073641116293,1.1052954429550832,0.0026415035372964087,0.872393603051179,4.3824529015376275,-0.1301189985177716,1.014765011232046
47,-4.846598220353742,4.846598220353742,0.6068702290076335,0.6621192621491145,0.9165572785752328,237.4344514849919,18343.84748695137,77.25857546039764,262,159,1,100.33489561080933,20.812035479556364,25.723386667623956,22.334989682963347,0.01238604778590977,1.0736353894280835,-0.01098051016111067,0.823909590463931,4.079419540265216,0.4501311561912233,1.0551926581204718
48,-5.618700090005411,5.618700090005411,0.6174242424242424,0.6733940652789165,0.9168839974384216,96.16251413118013,16359.119745173655,170.11950959245257,264,163,1,99.49032020568848,21.083273593926382,26.23587736444798,22.91687362553411,0.015128765430713663,1.0392858330878054,-0.03841050176447421,1.0742279720615016,3.933214451850758,0.8533190128888695,1.056694944837667
49,-5.0128383733929205,5.0128383733929205,0.532319391634981,0.581924122921217,0.9147573896108245,332.1088682468957,18946.72843340096,57.04975158722838,263,140,1,93.65993523597717,20.74626693569373,24.184224697119983,22.56525976362878,0.003869536174420332,1.1051186075782655,0.03653404452457832,0.968657323823303,4.458022549420565,0.8104474899350251,1.024965129390925
50,-5.245762882465375,5.245762882465375,0.55893536121673,0.6105448026703432,0.9154698537635754,194.19797278582675,16774.18472657808,86.37672415395224,263,147,1,93.96996974945068,20.92888931843886,23.914021639725245,21.8426179573548,0.021605268634537204,1.1441721330945507,0.08411713767333892,1.0287462742602964,3.6878486535069306,1.025229928167744,1.0873794395750294
51,-5.414441826709612,5.414441826709612,0.5280898876404494,0.5770395178476907,0.9151710954046626,220.9830736200665,18296.9307378504,82.79788328633754,267,141,1,92.78874230384827,20.871037771635265,24.057349871388265,18.35269401518716,0.02964069623360938,1.0093210344515093,0.04115329281775435,0.8636272489991133,4.092164341601188,0.1743545393881496,1.0504194875466923
52,-5.361459806520601,5.361459806520601,0.5954198473282443,0.6499168742634656,0.9161476965850727,149.0517663700257,18478.51930061067,123.97383641021179,262,156,1,96.47070622444153,20.521060685309124,23.05601823536034,22.71309201877723,0.029642938281495883,1.0901697290313375,0.012393823684058152,0.8983915785457868,3.443855573659257,0.8706667188216011,1.0431330782520956
53,-4.897060552999652,4.897060552999652,0.6212121212121212,0.6777672301089787,0.9165567374985599,274.3046833368434,22816.000594074576,83.17758310402873,264,164,1,99.36085629463196,20.767052269959645,25.009262796610557,22.56704027204274,0.01799583129969445,1.118921173727862,0.010059012757688486,0.7878825132159186,3.5219586447744464,0.4094213006196617,1.0529225390538686
